_dt,location,trend,tweet_volume
2017-08-20T22:00:12.039Z,San Francisco,Joss Whedon,
2017-08-20T22:00:12.067Z,Los Angeles,Joss Whedon,
2017-08-20T22:00:12.116Z,Memphis,Joss Whedon,
2017-08-20T22:00:12.157Z,Richmond,Joss Whedon,
2017-08-20T22:00:12.185Z,Denver,Joss Whedon,
2017-08-20T22:00:12.214Z,Virginia Beach,Joss Whedon,
2017-08-20T22:00:12.242Z,Cleveland,Joss Whedon,
2017-08-20T22:00:12.262Z,Salt Lake City,Joss Whedon,
2017-08-20T22:00:12.381Z,Vietnam,Joss Whedon,
2017-08-20T22:00:12.401Z,Honolulu,Joss Whedon,
2017-08-20T22:00:12.476Z,Belarus,Joss Whedon,
2017-08-20T22:00:12.526Z,United States,Joss Whedon,
2017-08-20T22:00:12.534Z,Tallahassee,Joss Whedon,
2017-08-20T22:00:12.549Z,Mesa,Joss Whedon,
2017-08-20T22:00:12.674Z,Orlando,Joss Whedon,
2017-08-20T22:00:12.768Z,Pittsburgh,Joss Whedon,
2017-08-20T22:00:12.827Z,Milwaukee,Joss Whedon,
2017-08-20T22:00:12.876Z,Oklahoma City,Joss Whedon,
2017-08-20T22:00:12.930Z,New Orleans,Joss Whedon,
2017-08-20T22:00:13.043Z,United Kingdom,Joss Whedon,
2017-08-20T22:00:13.143Z,Louisville,Joss Whedon,
2017-08-20T22:00:13.315Z,Providence,Joss Whedon,
2017-08-20T23:00:05.070Z,Vancouver,Joss Whedon,
2017-08-20T23:00:05.159Z,Worldwide,Joss Whedon,
2017-08-20T23:00:05.599Z,Birmingham,Joss Whedon,
2017-08-20T23:00:05.776Z,Coventry,Joss Whedon,
2017-08-20T23:00:05.863Z,Newcastle,Joss Whedon,
2017-08-20T23:00:06.053Z,Edinburgh,Joss Whedon,
2017-08-20T23:00:06.226Z,Plymouth,Joss Whedon,
2017-08-20T23:00:06.308Z,Middlesbrough,Joss Whedon,
2017-08-20T23:00:06.403Z,Ottawa,Joss Whedon,
2017-08-20T23:00:06.492Z,Leicester,Joss Whedon,
2017-08-20T23:00:06.502Z,Derby,Joss Whedon,
2017-08-20T23:00:06.595Z,Hull,Joss Whedon,
2017-08-20T23:00:06.940Z,Edmonton,Joss Whedon,
2017-08-20T23:00:07.013Z,Portsmouth,Joss Whedon,
2017-08-20T23:00:07.037Z,London,Joss Whedon,
2017-08-20T23:00:07.202Z,Stoke-on-Trent,Joss Whedon,
2017-08-20T23:00:07.337Z,Calgary,Joss Whedon,
2017-08-20T23:00:07.381Z,Glasgow,Joss Whedon,
2017-08-20T23:00:07.393Z,Bristol,Joss Whedon,
2017-08-20T23:00:07.403Z,Liverpool,Joss Whedon,
2017-08-20T23:00:07.504Z,Quebec,Joss Whedon,
2017-08-20T23:00:07.521Z,Brighton,Joss Whedon,
2017-08-20T23:00:07.568Z,Bournemouth,Joss Whedon,
2017-08-20T23:00:07.677Z,Cardiff,Joss Whedon,
2017-08-20T23:00:07.710Z,Toronto,Joss Whedon,
2017-08-20T23:00:07.825Z,Preston,Joss Whedon,
2017-08-20T23:00:08.017Z,Minsk,Joss Whedon,
2017-08-20T23:00:08.181Z,Belfast,Joss Whedon,
2017-08-20T23:00:08.307Z,Sheffield,Joss Whedon,
2017-08-20T23:00:08.433Z,Blackpool,Joss Whedon,
2017-08-20T23:00:09.103Z,Grodno,Joss Whedon,
2017-08-20T23:00:09.153Z,Manchester,Joss Whedon,
2017-08-20T23:00:09.505Z,Nottingham,Joss Whedon,
2017-08-20T23:00:09.862Z,Gomel,Joss Whedon,
2017-08-20T23:00:09.877Z,Swansea,Joss Whedon,
2017-08-20T23:00:10.052Z,Montreal,Joss Whedon,
2017-08-20T23:00:10.074Z,Winnipeg,Joss Whedon,
2017-08-20T23:00:10.118Z,Leeds,Joss Whedon,
2017-08-20T23:00:10.161Z,Hai Phong,Joss Whedon,
2017-08-20T23:00:10.610Z,Harrisburg,Joss Whedon,
2017-08-20T23:00:10.767Z,Brest,Joss Whedon,
2017-08-20T23:00:10.857Z,Long Beach,Joss Whedon,
2017-08-20T23:00:10.870Z,Ho Chi Minh City,Joss Whedon,
2017-08-20T23:00:10.906Z,Kansas City,Joss Whedon,
2017-08-20T23:00:10.989Z,Colorado Springs,Joss Whedon,
2017-08-20T23:00:11.026Z,Da Nang,Joss Whedon,
